productCode,productName,quantityInStock,quantity_ordered,inventory_turnover,warehousecode
S18_1129,"1993 Mazda RX-7",3975,947,4.1975,b
S18_4933,"1957 Ford Thunderbird",3209,767,4.1838,b
S24_1444,"1970 Dodge Coronet",4074,976,4.1742,b
S18_2949,"1913 Ford Model T Speedster",4189,1038,4.0356,c
S700_2047,"HMS Bounty",3501,897,3.9030,d
S24_1785,"1928 British Royal Navy Airplane",3627,972,3.7315,a
S32_4485,"1974 Ducati 350 Mk3 Desmo",3341,898,3.7205,a
S12_1108,"2001 Ferrari Enzo",3619,1019,3.5515,b
S24_3420,"1937 Horch 930V Limousine",2902,884,3.2828,c
S10_4757,"1972 Alfa Romeo GTA",3252,1030,3.1573,b
S32_2509,"1954 Greyhound Scenicruiser",2874,955,3.0094,d
S24_2022,"1938 Cadillac V-16 Presidential Limousine",2847,955,2.9812,c
S18_1749,"1917 Grand Touring Sedan",2724,918,2.9673,c
S18_4600,"1940s Ford truck",3128,1061,2.9482,d
S24_4278,"1900s Vintage Tri-Plane",2756,1009,2.7314,a
S18_1097,"1940 Ford Pickup Truck",2613,999,2.6156,d
S24_2840,"1958 Chevy Corvette Limited Edition",2542,983,2.5860,b
S24_3969,"1936 Mercedes Benz 500k Roadster",2081,824,2.5255,c
S24_2766,"1949 Jaguar XK 120",2350,949,2.4763,b
S24_2300,"1962 Volkswagen Microbus",2327,1029,2.2614,d
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",2378,1076,2.2100,c
S700_3505,"The Titanic",1956,952,2.0546,d
S700_1138,"The Schooner Bluenose",1897,934,2.0310,d
S18_2432,"1926 Ford Fire Engine",2018,998,2.0220,d
S18_3278,"1969 Dodge Super Bee",1917,974,1.9682,b
S24_2011,"18th century schooner",1898,1011,1.8773,d
S50_1514,"1962 City of Detroit Streetcar",1645,966,1.7029,d
S24_2887,"1952 Citroen-15CV",1452,873,1.6632,b
S12_1666,"1958 Setra Bus",1579,972,1.6245,d
S24_1046,"1970 Chevy Chevelle SS 454",1005,803,1.2516,b
S18_4721,"1957 Corvette Convertible",1249,1013,1.2330,b
S12_3891,"1969 Ford Falcon",1049,965,1.0870,b
S18_2581,"P-51-D Mustang",992,917,1.0818,a
S50_1392,"Diamond T620 Semi-Skirted Tanker",1016,979,1.0378,d
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",814,988,0.8239,d
S700_1938,"The Mayflower",737,898,0.8207,d
S18_2248,"1911 Ford Town Car",540,832,0.6490,c
S18_2795,"1928 Mercedes-Benz SSK",548,880,0.6227,c
S50_4713,"2002 Yamaha YZR M1",600,992,0.6048,a
S700_3167,"F/A 18 Hornet 1/72",551,1047,0.5263,a
S72_3212,"Pont Yacht",414,958,0.4322,d
S32_1374,"1997 BMW F650 ST",178,1014,0.1755,a
S32_4289,"1928 Ford Phaeton Deluxe",136,972,0.1399,c
S12_1099,"1968 Ford Mustang",68,933,0.0729,b
S24_2000,"1960 BSA Gold Star DBD34",15,1015,0.0148,a
S18_3233,"1985 Toyota Supra",7733,0,0,b
